HB Name,HB Density,Klimatdatabas name,Klimatdatabas density,Comment
1/2 in. Gypsum Board,800.0018292,"Gypsum, fireboard",830,
1/2IN Gypsum,784.9017947,"Gypsum, fireboard",830,
100mm Normalweight concrete floor,2322.006776,"Ready-mix made concrete, buildings C20/25",2350,
12 in. Normalweight Concrete Floor,2322.005309,"Ready-mix made concrete, buildings C20/25",2350,
1IN Stucco,1858.004248,Plastering and masonry mortar type C (CS II),1600,
25mm Stucco,1856.004244,Plastering and masonry mortar type C (CS II),1600,
4 in. Normalweight Concrete Floor,2322.005309,"Ready-mix made concrete, buildings C20/25",2350,
4 in. Normalweight Concrete Wall,2322.005309,"Ready-mix made concrete, buildings C20/25",2350,
5/8 in. Gypsum Board,800.0018292,"Gypsum, fireboard",830,
5/8 in. Plywood,544.0012438,Plywood (spruce),460,
6 in. Heavyweight Concrete Roof,2322.005309,"Ready-mix made concrete, buildings C20/25",2350,
6 in. Normalweight Concrete Floor,2322.005309,"Ready-mix made concrete, buildings C20/25",2350,
8 in. Concrete Block Basement Wall,1842.004212,"Ready-mix made concrete, buildings C20/25",2350,
8 in. Concrete Block Wall,800.0018292,"Expanded clay concrete block, 10-14 % cement (700-770 kg/m³)",750,
8 in. Normalweight Concrete Floor,2322.005309,"Ready-mix made concrete, buildings C20/25",2350,
8 in. Normalweight Concrete Wall,2322.005309,"Ready-mix made concrete, buildings C20/25",2350,
8IN CONCRETE HW RefBldg,2240.005122,"Ready-mix made concrete, buildings C20/25",2350,
8IN Concrete HW,2243.005129,"Ready-mix made concrete, buildings C20/25",2350,
Acoustic Ceiling,288.0006585,missing,0,no match
Adiabatic Material,,missing,0,virtual material
Asphalt Shingles,1120.002561,missing,0,value per square meter in kdb
AtticFloor Insulation,265.0006059,missing,0,virtual material
Built-up Roofing,1120.002561,missing,0,virtual material
Built-up Roofing - Highly Reflective,1120.002561,missing,0,virtual material
Bulk Storage Products Material,200.2311193,missing,0,virtual material
CP02 CARPET PAD,,missing,0,no match
Carpet - 3/4 in. CBES,288.333,missing,0,no match
